City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,masuguru,-11.3667,38.4167,76.71,64,0,7.58,TZ,1667767498
297,jaragua,-15.7569,-49.3344,81.57,38,43,6.22,BR,1667767498
298,meleuz,52.9667,55.9167,26.74,94,99,5.59,RU,1667767499
299,desa,43.8667,23.0333,55.13,86,99,3.4,RO,1667767499
300,mocuba,-16.8392,36.9856,76.55,75,80,3.87,MZ,1667767499
301,yining,29.0361,114.5636,52.34,81,0,0.83,CN,1667767500
302,iglesias,39.3114,8.535,55.78,75,3,3.36,IT,1667767500
303,coahuayana,18.7333,-103.6833,85.55,65,14,6.31,MX,1667767501
304,aktau,43.65,51.2,36.18,65,97,14.14,KZ,1667767501
305,yarim,14.298,44.3779,51.96,49,0,3.29,YE,1667767501
306,henties bay,-22.116,14.2845,70.77,58,100,21.83,NA,1667767502
307,valle de allende,26.9333,-105.4,77.14,16,0,3.87,MX,1667767502
308,bilibino,68.0546,166.4372,7.3,93,99,3.51,RU,1667767503
309,kaltasy,55.9693,54.8032,27.73,93,93,7.16,RU,1667767503
310,shagonar,51.5333,92.8,20.77,92,99,1.74,RU,1667767503
311,qaqortoq,60.7167,-46.0333,30.56,96,97,3.65,GL,1667767457
312,beyneu,45.3167,55.2,39.16,68,100,15.17,KZ,1667767504
313,bubaque,11.2833,-15.8333,83.25,70,90,9.93,GW,1667767504
314,upernavik,72.7868,-56.1549,12.65,84,87,5.91,GL,1667767505
315,dalvik,65.9702,-18.5286,39.13,83,18,7.49,IS,1667767505
316,formosa,-26.1775,-58.1781,85.98,32,20,3.44,AR,1667767266
317,okha,53.5739,142.9478,24.87,73,70,15.41,RU,1667767506
318,veseloyarsk,51.2836,81.1056,28.96,68,45,6.69,RU,1667767506
319,pangoa,-12.1167,-73.0,77.95,63,89,1.34,PE,1667767506
320,progreso,21.2833,-89.6667,88.11,63,20,13.71,MX,1667767507
321,stephenville,32.2207,-98.2023,85.24,22,0,9.22,US,1667767507
322,sallanches,45.9442,6.6316,52.39,57,95,4.76,FR,1667767507
323,ziro,27.6333,93.8333,45.43,88,37,2.35,IN,1667767508
324,korem,12.5058,39.5228,53.22,61,1,2.82,ET,1667767508
325,souillac,-20.5167,57.5167,73.78,73,40,8.05,MU,1667767509
326,baruun-urt,46.6806,113.2792,23.68,64,0,7.83,MN,1667767509
327,talakan,50.3167,130.3667,17.2,92,9,3.04,RU,1667767510
328,sarangani,5.4033,125.4636,82.42,73,100,4.07,PH,1667767510
329,lincoln,40.8,-96.667,61.02,19,0,14.97,US,1667767230
330,masallatah,32.6167,14.0,65.19,63,50,14.88,LY,1667767511
331,pangody,65.85,74.4859,11.91,97,98,4.27,RU,1667767511
332,san cristobal,7.7669,-72.225,80.78,86,74,2.48,VE,1667767511
333,lavrentiya,65.5833,-171.0,34.27,98,100,13.65,RU,1667767512
334,bonavista,48.6499,-53.1147,42.94,84,100,17.98,CA,1667767512
335,byron bay,-28.65,153.6167,56.95,64,40,5.48,AU,1667767235
336,luneville,48.6,6.5,48.58,67,92,15.37,FR,1667767512
337,ust-shonosha,61.1531,41.343,31.41,89,100,8.84,RU,1667767513
338,klaksvik,62.2266,-6.589,47.32,86,100,23.73,FO,1667767513
339,torbay,47.6666,-52.7314,48.38,90,100,10.36,CA,1667767514
340,adeje,28.1227,-16.726,69.15,74,20,13.8,ES,1667767514
341,pakxan,18.3778,103.6601,64.22,88,41,3.31,LA,1667767514
342,richards bay,-28.783,32.0377,70.93,68,96,3.36,ZA,1667767515
343,kruisfontein,-34.0033,24.7314,67.89,81,96,11.23,ZA,1667767515
344,birao,10.2849,22.7882,78.66,29,72,4.47,CF,1667767515
345,srednekolymsk,67.45,153.6833,-13.5,99,66,7.56,RU,1667767516
346,pevek,69.7008,170.3133,17.13,79,68,20.29,RU,1667767516
347,college,64.8569,-147.8028,9.21,84,75,0.0,US,1667767516
348,yoichi,43.2039,140.7703,40.19,70,21,8.28,JP,1667767483
349,croy,46.6946,6.4772,53.19,58,100,8.57,CH,1667767517
350,kidal,18.4411,1.4078,77.11,14,0,8.7,ML,1667767517
351,yerbogachen,61.2767,108.0108,15.75,97,100,4.36,RU,1667767518
352,atar,20.5169,-13.0499,82.15,12,100,8.19,MR,1667767518
353,nanyuki,0.0167,37.0728,58.21,92,100,2.71,KE,1667767518
354,nome,64.5011,-165.4064,33.87,86,100,23.02,US,1667767519
355,kota kinabalu,5.9749,116.0724,76.87,94,20,5.01,MY,1667767519
356,ayan,56.45,138.1667,20.41,63,77,9.66,RU,1667767519
357,andradas,-22.0681,-46.5692,64.98,70,33,1.61,BR,1667767520
358,kangaatsiaq,68.3065,-53.4641,24.8,69,100,12.68,GL,1667767520
359,new waterford,40.8451,-80.6145,71.85,67,52,10.36,US,1667767521
360,salta,-24.7859,-65.4117,84.79,25,12,11.5,AR,1667767521
361,santa cruz,-17.8,-63.1667,92.66,29,20,4.61,BO,1667767354
362,gurupi,-11.7292,-49.0686,82.76,53,100,4.29,BR,1667767522
363,pangnirtung,66.1451,-65.7125,14.0,62,20,0.0,CA,1667767522
364,rio gallegos,-51.6226,-69.2181,73.45,31,0,13.8,AR,1667767296
365,cayenne,4.9333,-52.3333,78.84,89,0,4.61,GF,1667767523
366,te anau,-45.4167,167.7167,54.19,61,51,4.92,NZ,1667767523
367,gerash,27.6652,54.1371,60.94,28,0,7.49,IR,1667767524
368,yulara,-25.2406,130.9889,77.79,21,99,4.03,AU,1667767524
369,vao,-22.6667,167.4833,75.09,83,78,17.29,NC,1667767524
370,gimli,50.6336,-96.9907,35.62,75,100,5.75,CA,1667767499
371,gizo,-8.103,156.8419,82.45,73,100,4.99,SB,1667767525
372,rantoul,40.3084,-88.1559,66.81,57,0,11.5,US,1667767525
373,vuktyl,63.8567,57.3094,32.32,99,100,5.21,RU,1667767526
374,dengzhou,37.8086,120.7508,55.38,64,100,5.97,CN,1667767526
375,ormara,25.2088,64.6357,78.66,71,4,9.17,PK,1667767526
376,port hardy,50.6996,-127.4199,39.38,93,75,21.85,CA,1667767336
377,jumla,29.2747,82.1838,43.36,53,87,4.34,NP,1667767527
378,shelburne,44.0787,-80.2041,57.9,55,100,13.67,CA,1667767527
379,jamame,0.0722,42.7506,77.11,85,46,7.83,SO,1667767527
380,fuerte olimpo,-21.0415,-57.8738,89.11,21,0,8.03,PY,1667767528
381,marsa matruh,31.3525,27.2453,71.8,30,0,11.5,EG,1667767528
382,wattegama,6.7989,81.4808,70.41,93,85,3.91,LK,1667767529
383,tatawin,32.9297,10.4518,60.04,37,0,7.43,TN,1667767529
384,the valley,18.217,-63.0578,84.06,83,40,18.41,AI,1667767529
385,kikwit,-5.041,18.8162,68.2,96,92,1.23,CD,1667767530
386,laurentides,46.4334,-74.9826,63.0,62,100,9.51,CA,1667767530
387,cherskiy,68.75,161.3,3.34,94,100,3.44,RU,1667767530
388,taihe,30.8712,105.3845,61.86,76,100,3.2,CN,1667767531
389,kigoma,-4.8769,29.6267,73.44,77,95,6.98,TZ,1667767531
390,rensvik,63.1,7.8167,43.07,81,75,3.44,NO,1667767531
391,aquiraz,-3.9014,-38.3911,82.49,76,91,10.13,BR,1667767532
392,santa maria del oro,25.9333,-105.3667,79.88,11,0,4.47,MX,1667767532
393,balugaon,20.1667,85.1,68.58,84,23,2.48,IN,1667767533
394,qui nhon,13.7667,109.2333,74.25,89,93,10.0,VN,1667767533
395,port macquarie,-31.4333,152.9167,63.9,78,96,4.41,AU,1667767393
396,haines junction,60.7522,-137.5108,12.15,52,5,4.61,CA,1667767533
397,fort nelson,58.8053,-122.7002,9.95,64,75,12.66,CA,1667767523
398,faya,18.3851,42.4509,60.91,79,26,3.0,SA,1667767534
399,mudanya,40.3753,28.8822,62.04,51,100,5.77,TR,1667767534
400,dan khun thot,15.2085,101.7714,67.26,80,27,5.39,TH,1667767535
401,margate,51.3813,1.3862,53.11,92,1,5.01,GB,1667767535
402,karwar,14.8,74.1333,79.77,69,85,3.8,IN,1667767535
403,shalakusha,62.2247,40.2539,31.95,94,100,7.38,RU,1667767536
404,arlit,18.7369,7.3853,76.24,14,3,7.58,NE,1667767536
405,saldanha,-33.0117,17.9442,62.65,91,100,7.47,ZA,1667767536
406,pumiao,22.75,108.4833,63.0,91,0,3.04,CN,1667767537
407,broome,42.2506,-75.833,74.46,71,75,14.0,US,1667767537
408,isangel,-19.55,169.2667,78.91,89,10,3.44,VU,1667767537
409,raga,8.4596,25.678,76.28,41,66,2.04,SS,1667767538
410,karasburg,-28.0167,18.75,75.49,27,100,17.13,NA,1667767538
411,dakar,14.6937,-17.4441,81.48,83,0,6.91,SN,1667767351
412,zabol,32.25,67.25,42.85,81,2,4.92,AF,1667767539
413,palu,-0.8917,119.8707,74.23,95,96,2.86,ID,1667767539
414,trinidad,-14.8333,-64.9,91.38,38,20,3.44,BO,1667767539
415,waingapu,-9.6567,120.2641,79.25,80,98,4.59,ID,1667767540
416,los aquijes,-14.0967,-75.6908,79.99,30,0,11.14,PE,1667767540
417,mareeba,-17.0,145.4333,72.45,85,94,2.59,AU,1667767540
418,borogontsy,62.6683,131.1683,-20.22,100,100,3.89,RU,1667767541
419,rypefjord,70.6333,23.6667,34.27,100,75,14.97,NO,1667767541
420,vieux-habitants,16.0589,-61.7659,80.17,81,100,12.17,GP,1667767541
421,rabat,33.9911,-6.8401,64.15,100,75,0.0,MA,1667767542
422,mantua,45.1667,10.7833,49.15,87,20,3.2,IT,1667767542
423,agdam,39.991,46.9274,44.67,89,100,7.96,AZ,1667767542
424,juneau,58.3019,-134.4197,29.21,72,20,14.97,US,1667767451
425,talaya,61.3833,152.75,-3.57,99,97,4.25,RU,1667767543
426,spearfish,44.4908,-103.8594,43.66,28,0,14.97,US,1667767543
427,saint george,37.1041,-113.5841,65.79,28,0,3.44,US,1667767544
428,myitkyina,25.3833,97.4,63.0,83,0,2.04,MM,1667767544
429,hollister,36.8525,-121.4016,65.14,59,0,12.66,US,1667767544
430,wiwili,13.6268,-85.8254,83.64,75,61,3.18,NI,1667767545
431,tomatlan,19.9333,-105.25,85.48,55,0,5.26,MX,1667767545
432,aberystwyth,52.4155,-4.0829,48.7,85,98,22.79,GB,1667767545
433,concordia,-31.393,-58.0209,78.87,39,40,18.99,AR,1667767546
434,gomel,52.4345,30.9754,36.82,92,100,13.42,BY,1667767546
435,acarau,-2.8856,-40.12,79.18,78,89,15.17,BR,1667767546
436,bintulu,3.1667,113.0333,75.61,100,40,5.01,MY,1667767547
437,vila,42.0304,-8.1588,48.7,91,53,5.37,PT,1667767547
438,porto novo,6.4965,2.6036,84.02,79,100,5.99,BJ,1667767547
439,verkhovye,52.8119,37.2425,31.46,84,100,7.9,RU,1667767548
440,xapuri,-10.6517,-68.5044,96.39,20,5,1.07,BR,1667767548
441,qurbus,36.8167,10.5687,62.94,65,0,11.12,TN,1667767548
442,keti bandar,24.1447,67.4497,78.4,60,83,8.68,PK,1667767549
443,pekan,3.4836,103.3996,78.96,92,100,4.47,MY,1667767549
444,udachnyy,66.4167,112.4,-21.15,100,91,3.87,RU,1667767549
445,cootamundra,-34.65,148.0333,58.95,83,91,4.47,AU,1667767294
446,cervo,43.6702,-7.4101,56.97,75,32,13.62,ES,1667767550
447,talcahuano,-36.7167,-73.1167,60.48,67,0,11.5,CL,1667767550
448,mutoko,-17.397,32.2268,66.52,79,91,4.52,ZW,1667767551
449,hervey bay,-25.2986,152.8535,71.17,56,5,14.45,AU,1667767551
450,lorengau,-2.0226,147.2712,81.68,77,98,3.36,PG,1667767551
451,vermilion,40.1667,-87.7506,66.79,50,0,16.11,US,1667767552
452,berezovka,53.7214,25.4993,46.47,75,100,4.32,BY,1667767552
453,buchanan,5.8808,-10.0467,77.86,84,15,4.29,LR,1667767552
454,ouadda,8.0777,22.4007,77.34,42,81,3.4,CF,1667767553
455,pierre,44.3683,-100.351,47.32,39,0,27.63,US,1667767553
456,necochea,-38.5473,-58.7368,75.09,37,100,13.96,AR,1667767554
457,tahara,34.6667,137.2667,51.75,56,100,5.44,JP,1667767554
458,naze,28.3667,129.4833,65.32,69,100,5.93,JP,1667767554
459,pohrebyshche,49.4864,29.2636,45.82,74,100,10.0,UA,1667767555
460,skjervoy,70.0311,20.9714,37.4,77,100,17.69,NO,1667767555
461,la palma,33.8464,-118.0467,76.5,60,20,5.75,US,1667767555
462,kambove,-10.8764,26.5969,63.25,93,94,1.25,CD,1667767556
463,kamenka,51.3223,42.7678,31.62,77,8,4.52,RU,1667767556
464,mitsamiouli,-11.3847,43.2844,77.25,83,1,13.47,KM,1667767556
465,vesele,47.0148,34.915,38.17,76,96,11.68,UA,1667767557
466,havoysund,70.9963,24.6622,35.83,65,100,22.97,NO,1667767557
467,zhangye,38.9342,100.4517,37.15,36,43,1.86,CN,1667767558
468,santa rosa,14.3122,121.1114,78.78,92,7,4.05,PH,1667767242
469,anadyr,64.75,177.4833,25.3,86,0,4.47,RU,1667767558
470,luanda,-8.8368,13.2343,77.77,84,37,8.99,AO,1667767558
471,saint-francois,46.4154,3.9054,51.24,71,0,2.3,FR,1667767559
472,angoche,-16.2325,39.9086,77.23,76,6,12.91,MZ,1667767559
473,zaranj,30.9667,61.8833,58.96,45,53,7.09,AF,1667767560
474,yarmouth,41.7057,-70.2286,70.14,89,0,11.5,US,1667767560
475,adrar,20.5022,-10.0711,77.49,15,80,7.58,MR,1667767560
476,buraydah,26.326,43.975,72.05,57,30,8.97,SA,1667767505
477,chaman,30.9236,66.4512,53.49,68,0,2.68,PK,1667767561
478,poletayevo,55.0336,61.1138,28.22,92,99,5.99,RU,1667767561
479,tabuk,17.4189,121.4443,71.89,94,7,1.43,PH,1667767561
480,alice springs,-23.7,133.8833,54.95,38,2,0.0,AU,1667767509
481,komsomolskiy,40.4272,71.7189,50.72,87,87,4.61,UZ,1667767562
482,phan thiet,10.9333,108.1,73.78,90,77,2.8,VN,1667767562
483,chumikan,54.7183,135.315,22.17,74,100,18.63,RU,1667767563
